loan_id,loan_account_no,customer_id,product_id,disbursement_date,tenure_months,principal_amount,interest_rate_pct,emi_amount,installments_paid,outstanding_principal,days_past_due,loan_status,loan_purpose,disbursed_branch_id,date_key
15,LN000015,39,9,2023-06-06,48,209911.69,8.08,5132.44,22,113501.82,0,Closed,Home Renovation,BR006,20230606
16,LN000016,29,8,2021-06-27,48,112385.22,7.51,2717.88,24,53035.82,0,Active,Debt Consolidation,BR008,20210627
17,LN000017,57,9,2021-12-20,240,880164.88,13.19,10431.16,57,614929.45,0,Closed,Medical Emergency,BR001,20211220
18,LN000018,21,9,2020-08-02,24,135452.05,14.56,6539.33,2,115944.08,180,NPA,Travel,BR001,20200802
19,LN000019,28,10,2020-12-03,120,89275.94,12.73,1318.81,92,20676.01,0,Active,Medical Emergency,BR004,20201203
20,LN000020,7,8,2022-03-15,240,259963.63,9.71,2458.96,169,74022.64,0,Active,Education,BR003,20220315
21,LN000021,41,9,2020-06-16,180,260942.27,12.46,3209.38,23,219448.54,0,Active,Debt Consolidation,BR006,20200616
22,LN000022,12,9,2020-04-01,60,484380.57,8.63,9968.19,44,124872.9,0,Active,Debt Consolidation,BR010,20200401
23,LN000023,15,10,2020-05-04,120,3142057.65,11.06,43388.63,112,193459.46,0,Active,Home Purchase,BR009,20200504
24,LN000024,37,10,2023-03-16,36,1691515.89,14.79,58463.15,12,1029139.24,0,Restructured,Debt Consolidation,BR004,20230316
25,LN000025,53,10,2020-10-29,60,129937.37,11.67,2868.76,35,50492.18,0,Active,Home Purchase,BR010,20201029
26,LN000026,38,10,2024-05-19,120,404749.62,14.74,6465.73,12,361539.98,0,Active,Medical Emergency,BR009,20240519
27,LN000027,57,9,2022-04-21,60,145760.87,9.57,3066.24,9,119166.91,0,Active,Debt Consolidation,BR006,20220421
28,LN000028,45,8,2020-04-10,180,927921.95,9.77,9841.34,71,553077.71,30,Active,Education,BR003,20200410
29,LN000029,20,10,2022-06-26,84,117355.0,9.09,1893.5,52,43548.52,0,Closed,Home Purchase,BR009,20220626
30,LN000030,51,8,2020-05-14,60,582369.6,11.77,12886.91,11,437209.52,0,Closed,Education,BR001,20200514
31,LN000031,30,8,2022-01-08,48,876454.4,8.43,21574.16,1,793138.44,0,Active,Travel,BR010,20220108
32,LN000032,36,9,2021-12-06,36,259413.44,7.71,8094.41,3,217889.96,0,Restructured,Education,BR004,20211206
33,LN000033,44,8,2021-07-05,120,905240.95,11.06,12500.46,16,756876.97,0,Active,Medical Emergency,BR010,20210705
34,LN000034,52,9,2023-12-30,60,155951.7,11.0,3390.77,43,42068.19,0,Active,Home Purchase,BR009,20231230
35,LN000035,43,9,2023-02-23,60,1255348.22,12.3,28115.21,55,97047.67,0,Restructured,Medical Emergency,BR004,20230223
36,LN000036,10,10,2024-04-16,48,863800.88,12.45,22938.51,43,82240.41,0,Active,Medical Emergency,BR005,20240416
37,LN000037,59,9,2022-04-08,120,708116.59,10.07,9385.28,91,157820.62,0,Closed,Business Expansion,BR009,20220408
38,LN000038,20,8,2023-09-08,240,95283.96,13.56,1154.55,195,17709.64,60,Closed,Home Renovation,BR004,20230908
39,LN000039,23,8,2024-03-04,60,920790.48,10.98,20011.03,7,770300.23,30,Active,Home Renovation,BR008,20240304
40,LN000040,57,8,2022-10-21,24,266874.44,13.91,12802.07,4,222225.19,0,Restructured,Travel,BR003,20221021
41,LN000041,21,10,2021-01-04,24,741722.94,7.54,33390.72,8,455387.34,0,Active,Vehicle Purchase,BR008,20210104
42,LN000042,51,8,2020-09-22,120,208371.89,7.78,2503.97,25,160518.0,60,Closed,Education,BR001,20200922
43,LN000043,44,8,2023-07-07,48,106566.43,11.28,2768.78,19,59020.84,0,Active,Medical Emergency,BR008,20230707
44,LN000044,47,10,2023-05-06,240,134458.79,14.26,1697.47,91,81390.55,0,Closed,Debt Consolidation,BR001,20230506
45,LN000045,15,8,2024-01-29,36,102797.56,12.83,3455.24,2,91020.54,0,Closed,Home Purchase,BR010,20240129
46,LN000046,4,10,2020-08-09,12,62058.76,9.4,5438.65,11,4733.6,0,Active,Medical Emergency,BR007,20200809
47,LN000047,43,8,2023-09-18,240,723944.04,8.29,6186.67,184,162462.42,0,Closed,Travel,BR004,20230918
48,LN000048,39,8,2024-05-12,60,257874.71,8.7,5315.59,35,102036.24,0,Closed,Business Expansion,BR004,20240512
49,LN000049,1,8,2023-10-07,24,276720.01,8.18,12538.03,16,83708.25,0,Closed,Education,BR008,20231007
50,LN000050,19,9,2022-08-08,12,74952.23,13.51,6712.48,5,41212.46,0,Closed,Home Purchase,BR001,20220808
51,LN000051,55,8,2023-09-20,36,132165.21,13.0,4453.17,23,46843.22,0,Active,Travel,BR005,20230920
52,LN000052,54,9,2023-11-13,180,249974.77,12.72,3116.87,15,228721.21,0,Active,Travel,BR010,20231113
53,LN000053,44,9,2021-01-06,120,4450303.1,12.95,66316.62,114,203170.92,60,Active,Debt Consolidation,BR008,20210106
54,LN000054,3,8,2021-06-19,84,907832.59,12.93,16480.73,28,603883.92,0,Active,Home Renovation,BR007,20210619
55,LN000055,43,10,2021-05-24,180,773406.9,11.69,9128.5,156,93371.52,0,Active,Travel,BR008,20210524
56,LN000056,56,8,2020-06-02,180,531626.39,11.63,6254.41,96,233288.08,0,Active,Travel,BR002,20200602
57,LN000057,55,9,2022-07-04,84,79676.71,10.59,1347.14,71,11774.92,0,Closed,Medical Emergency,BR009,20220704
58,LN000058,36,8,2023-09-02,180,287588.78,10.91,3252.49,143,57740.54,0,Closed,Business Expansion,BR008,20230902
59,LN000059,8,8,2024-04-04,48,548597.29,11.61,14341.85,23,277215.81,0,Active,Vehicle Purchase,BR007,20240404
60,LN000060,7,9,2023-06-05,48,96885.85,13.36,2616.55,45,5654.46,0,Active,Home Renovation,BR008,20230605
61,LN000061,30,10,2023-04-21,240,83659.0,14.51,1071.45,214,8687.05,60,Closed,Vehicle Purchase,BR010,20230421
62,LN000062,12,10,2020-09-19,24,720382.22,10.38,33368.47,19,148817.61,0,Active,Business Expansion,BR005,20200919
63,LN000063,29,8,2020-10-09,120,920505.8,11.61,12999.89,40,595989.11,60,Active,Education,BR004,20201009
64,LN000064,40,10,2021-08-18,84,3841585.77,8.83,61476.65,69,665027.34,0,Active,Business Expansion,BR009,20210818
65,LN000065,31,10,2023-03-14,120,3135611.21,10.67,42609.4,1,2961074.91,0,Active,Home Purchase,BR004,20230314
66,LN000066,18,8,2021-08-09,60,86607.1,11.56,1907.33,22,53831.08,0,Closed,Education,BR009,20210809
67,LN000067,25,8,2022-11-12,60,223234.02,13.41,5126.24,43,58902.2,0,Active,Medical Emergency,BR004,20221112
68,LN000068,40,9,2021-04-06,84,682630.6,14.73,13069.36,37,360895.67,180,NPA,Home Renovation,BR003,20210406
69,LN000069,12,10,2022-11-18,24,144299.56,11.88,6784.6,8,86634.04,0,Closed,Home Purchase,BR003,20221118
70,LN000070,60,9,2023-05-07,12,243415.24,13.42,21789.18,8,75930.02,0,Active,Education,BR003,20230507
71,LN000071,34,8,2024-05-29,240,89842.62,14.13,1125.7,169,24802.69,0,Active,Travel,BR009,20240529
72,LN000072,53,10,2020-01-19,24,611967.07,12.16,28853.16,1,567851.08,0,Closed,Home Renovation,BR007,20200119
73,LN000073,17,10,2024-01-22,60,661807.48,11.32,14495.14,31,289288.95,30,Active,Home Renovation,BR002,20240122
74,LN000074,11,10,2022-12-28,12,206733.27,12.64,18429.95,1,174450.79,0,Closed,Debt Consolidation,BR002,20221228
75,LN000075,48,10,2020-11-10,12,164806.31,13.46,14755.64,8,49828.87,0,Closed,Debt Consolidation,BR007,20201110
76,LN000076,29,10,2022-04-08,120,129101.06,12.9,1920.01,8,117553.79,0,Closed,Home Renovation,BR006,20220408
77,LN000077,60,10,2020-08-05,60,510945.5,10.78,11053.22,25,292749.87,0,Active,Education,BR003,20200805
78,LN000078,48,9,2023-01-22,60,3709156.18,13.46,85270.7,46,835000.1,60,Active,Vehicle Purchase,BR002,20230122
79,LN000079,3,8,2023-03-18,120,962885.57,14.28,15112.91,44,561757.08,30,Closed,Vehicle Purchase,BR003,20230318
80,LN000080,12,8,2023-06-17,60,4198640.21,13.89,97455.74,59,69907.89,0,Active,Home Renovation,BR005,20230617
