REPKEY,REPKEYDAY,REP,TEAM,TARGETENROLLMENTS,TARGETDEBT,TARGETDATE,TARGETDAY,TARGETENROLLMENTSDAY,TARGETDEBTDAY,DIRECTORKEY,DIRECTORKEYDAY
202503_Evan Baker,20250301_Evan Baker,Evan Baker,Alpha,22,550000,202503,20250301,1.0,25000.0,202503_Alan Day,20250301_Alan Day
202503_Jay Harris,20250301_Jay Harris,Jay Harris,Alpha,15,375000,202503,20250301,0.68,17045.45,202503_Alan Day,20250301_Alan Day
202503_Jenna Marks,20250301_Jenna Marks,Jenna Marks,Alpha,17,425000,202503,20250301,0.77,19318.18,202503_Alan Day,20250301_Alan Day
202503_Naddia Bazar,20250301_Naddia Bazar,Naddia Bazar,Beta,30,750000,202503,20250301,1.36,34090.91,202503_Bryan Reed,20250301_Bryan Reed
202503_Tara Singh,20250301_Tara Singh,Tara Singh,Beta,28,700000,202503,20250301,1.27,31818.18,202503_Bryan Reed,20250301_Bryan Reed
202503_Lisa Wong,20250301_Lisa Wong,Lisa Wong,Beta,24,600000,202503,20250301,1.09,27272.73,202503_Bryan Reed,20250301_Bryan Reed
202503_Marcus Lee,20250301_Marcus Lee,Marcus Lee,Gamma,19,475000,202503,20250301,0.86,21590.91,202503_Brian Derenda,20250301_Brian Derenda
202503_Sofia Cruz,20250301_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202503,20250301,1.68,42045.45,202503_Brian Derenda,20250301_Brian Derenda
202503_Alexander Dagen,20250301_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202503,20250301,1.18,29545.45,202503_Brian Derenda,20250301_Brian Derenda
202503_Victor Chen,20250301_Victor Chen,Victor Chen,Gamma,22,550000,202503,20250301,1.0,25000.0,202503_Brian Derenda,20250301_Brian Derenda
202504_Evan Baker,20250401_Evan Baker,Evan Baker,Alpha,22,550000,202504,20250401,1.0,25000.0,202504_Alan Day,20250401_Alan Day
202504_Jay Harris,20250401_Jay Harris,Jay Harris,Alpha,15,375000,202504,20250401,0.68,17045.45,202504_Alan Day,20250401_Alan Day
202504_Jenna Marks,20250401_Jenna Marks,Jenna Marks,Alpha,17,425000,202504,20250401,0.77,19318.18,202504_Alan Day,20250401_Alan Day
202504_Naddia Bazar,20250401_Naddia Bazar,Naddia Bazar,Beta,30,750000,202504,20250401,1.36,34090.91,202504_Bryan Reed,20250401_Bryan Reed
202504_Tara Singh,20250401_Tara Singh,Tara Singh,Beta,28,700000,202504,20250401,1.27,31818.18,202504_Bryan Reed,20250401_Bryan Reed
202504_Lisa Wong,20250401_Lisa Wong,Lisa Wong,Beta,24,600000,202504,20250401,1.09,27272.73,202504_Bryan Reed,20250401_Bryan Reed
202504_Marcus Lee,20250401_Marcus Lee,Marcus Lee,Gamma,19,475000,202504,20250401,0.86,21590.91,202504_Brian Derenda,20250401_Brian Derenda
202504_Sofia Cruz,20250401_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202504,20250401,1.68,42045.45,202504_Brian Derenda,20250401_Brian Derenda
202504_Alexander Dagen,20250401_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202504,20250401,1.18,29545.45,202504_Brian Derenda,20250401_Brian Derenda
202504_Victor Chen,20250401_Victor Chen,Victor Chen,Gamma,22,550000,202504,20250401,1.0,25000.0,202504_Brian Derenda,20250401_Brian Derenda
202505_Evan Baker,20250501_Evan Baker,Evan Baker,Alpha,22,550000,202505,20250501,1.0,25000.0,202505_Alan Day,20250501_Alan Day
202505_Jay Harris,20250501_Jay Harris,Jay Harris,Alpha,15,375000,202505,20250501,0.68,17045.45,202505_Alan Day,20250501_Alan Day
202505_Jenna Marks,20250501_Jenna Marks,Jenna Marks,Alpha,17,425000,202505,20250501,0.77,19318.18,202505_Alan Day,20250501_Alan Day
202505_Naddia Bazar,20250501_Naddia Bazar,Naddia Bazar,Beta,30,750000,202505,20250501,1.36,34090.91,202505_Bryan Reed,20250501_Bryan Reed
202505_Tara Singh,20250501_Tara Singh,Tara Singh,Beta,28,700000,202505,20250501,1.27,31818.18,202505_Bryan Reed,20250501_Bryan Reed
202505_Lisa Wong,20250501_Lisa Wong,Lisa Wong,Beta,24,600000,202505,20250501,1.09,27272.73,202505_Bryan Reed,20250501_Bryan Reed
202505_Marcus Lee,20250501_Marcus Lee,Marcus Lee,Gamma,19,475000,202505,20250501,0.86,21590.91,202505_Brian Derenda,20250501_Brian Derenda
202505_Sofia Cruz,20250501_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202505,20250501,1.68,42045.45,202505_Brian Derenda,20250501_Brian Derenda
202505_Alexander Dagen,20250501_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202505,20250501,1.18,29545.45,202505_Brian Derenda,20250501_Brian Derenda
202505_Victor Chen,20250501_Victor Chen,Victor Chen,Gamma,22,550000,202505,20250501,1.0,25000.0,202505_Brian Derenda,20250501_Brian Derenda
202506_Evan Baker,20250601_Evan Baker,Evan Baker,Alpha,22,550000,202506,20250601,1.0,25000.0,202506_Alan Day,20250601_Alan Day
202506_Jay Harris,20250601_Jay Harris,Jay Harris,Alpha,15,375000,202506,20250601,0.68,17045.45,202506_Alan Day,20250601_Alan Day
202506_Jenna Marks,20250601_Jenna Marks,Jenna Marks,Alpha,17,425000,202506,20250601,0.77,19318.18,202506_Alan Day,20250601_Alan Day
202506_Naddia Bazar,20250601_Naddia Bazar,Naddia Bazar,Beta,30,750000,202506,20250601,1.36,34090.91,202506_Bryan Reed,20250601_Bryan Reed
202506_Tara Singh,20250601_Tara Singh,Tara Singh,Beta,28,700000,202506,20250601,1.27,31818.18,202506_Bryan Reed,20250601_Bryan Reed
202506_Lisa Wong,20250601_Lisa Wong,Lisa Wong,Beta,24,600000,202506,20250601,1.09,27272.73,202506_Bryan Reed,20250601_Bryan Reed
202506_Marcus Lee,20250601_Marcus Lee,Marcus Lee,Gamma,19,475000,202506,20250601,0.86,21590.91,202506_Brian Derenda,20250601_Brian Derenda
202506_Sofia Cruz,20250601_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202506,20250601,1.68,42045.45,202506_Brian Derenda,20250601_Brian Derenda
202506_Alexander Dagen,20250601_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202506,20250601,1.18,29545.45,202506_Brian Derenda,20250601_Brian Derenda
202506_Victor Chen,20250601_Victor Chen,Victor Chen,Gamma,22,550000,202506,20250601,1.0,25000.0,202506_Brian Derenda,20250601_Brian Derenda
202507_Evan Baker,20250701_Evan Baker,Evan Baker,Alpha,22,550000,202507,20250701,1.0,25000.0,202507_Alan Day,20250701_Alan Day
202507_Jay Harris,20250701_Jay Harris,Jay Harris,Alpha,15,375000,202507,20250701,0.68,17045.45,202507_Alan Day,20250701_Alan Day
202507_Jenna Marks,20250701_Jenna Marks,Jenna Marks,Alpha,17,425000,202507,20250701,0.77,19318.18,202507_Alan Day,20250701_Alan Day
202507_Naddia Bazar,20250701_Naddia Bazar,Naddia Bazar,Beta,30,750000,202507,20250701,1.36,34090.91,202507_Bryan Reed,20250701_Bryan Reed
202507_Tara Singh,20250701_Tara Singh,Tara Singh,Beta,28,700000,202507,20250701,1.27,31818.18,202507_Bryan Reed,20250701_Bryan Reed
202507_Lisa Wong,20250701_Lisa Wong,Lisa Wong,Beta,24,600000,202507,20250701,1.09,27272.73,202507_Bryan Reed,20250701_Bryan Reed
202507_Marcus Lee,20250701_Marcus Lee,Marcus Lee,Gamma,19,475000,202507,20250701,0.86,21590.91,202507_Brian Derenda,20250701_Brian Derenda
202507_Sofia Cruz,20250701_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202507,20250701,1.68,42045.45,202507_Brian Derenda,20250701_Brian Derenda
202507_Alexander Dagen,20250701_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202507,20250701,1.18,29545.45,202507_Brian Derenda,20250701_Brian Derenda
202507_Victor Chen,20250701_Victor Chen,Victor Chen,Gamma,22,550000,202507,20250701,1.0,25000.0,202507_Brian Derenda,20250701_Brian Derenda
202508_Evan Baker,20250801_Evan Baker,Evan Baker,Alpha,22,550000,202508,20250801,1.0,25000.0,202508_Alan Day,20250801_Alan Day
202508_Jay Harris,20250801_Jay Harris,Jay Harris,Alpha,15,375000,202508,20250801,0.68,17045.45,202508_Alan Day,20250801_Alan Day
202508_Jenna Marks,20250801_Jenna Marks,Jenna Marks,Alpha,17,425000,202508,20250801,0.77,19318.18,202508_Alan Day,20250801_Alan Day
202508_Naddia Bazar,20250801_Naddia Bazar,Naddia Bazar,Beta,30,750000,202508,20250801,1.36,34090.91,202508_Bryan Reed,20250801_Bryan Reed
202508_Tara Singh,20250801_Tara Singh,Tara Singh,Beta,28,700000,202508,20250801,1.27,31818.18,202508_Bryan Reed,20250801_Bryan Reed
202508_Lisa Wong,20250801_Lisa Wong,Lisa Wong,Beta,24,600000,202508,20250801,1.09,27272.73,202508_Bryan Reed,20250801_Bryan Reed
202508_Marcus Lee,20250801_Marcus Lee,Marcus Lee,Gamma,19,475000,202508,20250801,0.86,21590.91,202508_Brian Derenda,20250801_Brian Derenda
202508_Sofia Cruz,20250801_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202508,20250801,1.68,42045.45,202508_Brian Derenda,20250801_Brian Derenda
202508_Alexander Dagen,20250801_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202508,20250801,1.18,29545.45,202508_Brian Derenda,20250801_Brian Derenda
202508_Victor Chen,20250801_Victor Chen,Victor Chen,Gamma,22,550000,202508,20250801,1.0,25000.0,202508_Brian Derenda,20250801_Brian Derenda
202509_Evan Baker,20250901_Evan Baker,Evan Baker,Alpha,22,550000,202509,20250901,1.0,25000.0,202509_Alan Day,20250901_Alan Day
202509_Jay Harris,20250901_Jay Harris,Jay Harris,Alpha,15,375000,202509,20250901,0.68,17045.45,202509_Alan Day,20250901_Alan Day
202509_Jenna Marks,20250901_Jenna Marks,Jenna Marks,Alpha,17,425000,202509,20250901,0.77,19318.18,202509_Alan Day,20250901_Alan Day
202509_Naddia Bazar,20250901_Naddia Bazar,Naddia Bazar,Beta,30,750000,202509,20250901,1.36,34090.91,202509_Bryan Reed,20250901_Bryan Reed
202509_Tara Singh,20250901_Tara Singh,Tara Singh,Beta,28,700000,202509,20250901,1.27,31818.18,202509_Bryan Reed,20250901_Bryan Reed
202509_Lisa Wong,20250901_Lisa Wong,Lisa Wong,Beta,24,600000,202509,20250901,1.09,27272.73,202509_Bryan Reed,20250901_Bryan Reed
202509_Marcus Lee,20250901_Marcus Lee,Marcus Lee,Gamma,19,475000,202509,20250901,0.86,21590.91,202509_Brian Derenda,20250901_Brian Derenda
202509_Sofia Cruz,20250901_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202509,20250901,1.68,42045.45,202509_Brian Derenda,20250901_Brian Derenda
202509_Alexander Dagen,20250901_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202509,20250901,1.18,29545.45,202509_Brian Derenda,20250901_Brian Derenda
202509_Victor Chen,20250901_Victor Chen,Victor Chen,Gamma,22,550000,202509,20250901,1.0,25000.0,202509_Brian Derenda,20250901_Brian Derenda
202510_Evan Baker,20251001_Evan Baker,Evan Baker,Alpha,22,550000,202510,20251001,1.0,25000.0,202510_Alan Day,20251001_Alan Day
202510_Jay Harris,20251001_Jay Harris,Jay Harris,Alpha,15,375000,202510,20251001,0.68,17045.45,202510_Alan Day,20251001_Alan Day
202510_Jenna Marks,20251001_Jenna Marks,Jenna Marks,Alpha,17,425000,202510,20251001,0.77,19318.18,202510_Alan Day,20251001_Alan Day
202510_Naddia Bazar,20251001_Naddia Bazar,Naddia Bazar,Beta,30,750000,202510,20251001,1.36,34090.91,202510_Bryan Reed,20251001_Bryan Reed
202510_Tara Singh,20251001_Tara Singh,Tara Singh,Beta,28,700000,202510,20251001,1.27,31818.18,202510_Bryan Reed,20251001_Bryan Reed
202510_Lisa Wong,20251001_Lisa Wong,Lisa Wong,Beta,24,600000,202510,20251001,1.09,27272.73,202510_Bryan Reed,20251001_Bryan Reed
202510_Marcus Lee,20251001_Marcus Lee,Marcus Lee,Gamma,19,475000,202510,20251001,0.86,21590.91,202510_Brian Derenda,20251001_Brian Derenda
202510_Sofia Cruz,20251001_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202510,20251001,1.68,42045.45,202510_Brian Derenda,20251001_Brian Derenda
202510_Alexander Dagen,20251001_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202510,20251001,1.18,29545.45,202510_Brian Derenda,20251001_Brian Derenda
202510_Victor Chen,20251001_Victor Chen,Victor Chen,Gamma,22,550000,202510,20251001,1.0,25000.0,202510_Brian Derenda,20251001_Brian Derenda
202511_Evan Baker,20251101_Evan Baker,Evan Baker,Alpha,22,550000,202511,20251101,1.0,25000.0,202511_Alan Day,20251101_Alan Day
202511_Jay Harris,20251101_Jay Harris,Jay Harris,Alpha,15,375000,202511,20251101,0.68,17045.45,202511_Alan Day,20251101_Alan Day
202511_Jenna Marks,20251101_Jenna Marks,Jenna Marks,Alpha,17,425000,202511,20251101,0.77,19318.18,202511_Alan Day,20251101_Alan Day
202511_Naddia Bazar,20251101_Naddia Bazar,Naddia Bazar,Beta,30,750000,202511,20251101,1.36,34090.91,202511_Bryan Reed,20251101_Bryan Reed
202511_Tara Singh,20251101_Tara Singh,Tara Singh,Beta,28,700000,202511,20251101,1.27,31818.18,202511_Bryan Reed,20251101_Bryan Reed
202511_Lisa Wong,20251101_Lisa Wong,Lisa Wong,Beta,24,600000,202511,20251101,1.09,27272.73,202511_Bryan Reed,20251101_Bryan Reed
202511_Marcus Lee,20251101_Marcus Lee,Marcus Lee,Gamma,19,475000,202511,20251101,0.86,21590.91,202511_Brian Derenda,20251101_Brian Derenda
202511_Sofia Cruz,20251101_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202511,20251101,1.68,42045.45,202511_Brian Derenda,20251101_Brian Derenda
202511_Alexander Dagen,20251101_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202511,20251101,1.18,29545.45,202511_Brian Derenda,20251101_Brian Derenda
202511_Victor Chen,20251101_Victor Chen,Victor Chen,Gamma,22,550000,202511,20251101,1.0,25000.0,202511_Brian Derenda,20251101_Brian Derenda
202512_Evan Baker,20251201_Evan Baker,Evan Baker,Alpha,22,550000,202512,20251201,1.0,25000.0,202512_Alan Day,20251201_Alan Day
202512_Jay Harris,20251201_Jay Harris,Jay Harris,Alpha,15,375000,202512,20251201,0.68,17045.45,202512_Alan Day,20251201_Alan Day
202512_Jenna Marks,20251201_Jenna Marks,Jenna Marks,Alpha,17,425000,202512,20251201,0.77,19318.18,202512_Alan Day,20251201_Alan Day
202512_Naddia Bazar,20251201_Naddia Bazar,Naddia Bazar,Beta,30,750000,202512,20251201,1.36,34090.91,202512_Bryan Reed,20251201_Bryan Reed
202512_Tara Singh,20251201_Tara Singh,Tara Singh,Beta,28,700000,202512,20251201,1.27,31818.18,202512_Bryan Reed,20251201_Bryan Reed
202512_Lisa Wong,20251201_Lisa Wong,Lisa Wong,Beta,24,600000,202512,20251201,1.09,27272.73,202512_Bryan Reed,20251201_Bryan Reed
202512_Marcus Lee,20251201_Marcus Lee,Marcus Lee,Gamma,19,475000,202512,20251201,0.86,21590.91,202512_Brian Derenda,20251201_Brian Derenda
202512_Sofia Cruz,20251201_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202512,20251201,1.68,42045.45,202512_Brian Derenda,20251201_Brian Derenda
202512_Alexander Dagen,20251201_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202512,20251201,1.18,29545.45,202512_Brian Derenda,20251201_Brian Derenda
202512_Victor Chen,20251201_Victor Chen,Victor Chen,Gamma,22,550000,202512,20251201,1.0,25000.0,202512_Brian Derenda,20251201_Brian Derenda
202601_Evan Baker,20260101_Evan Baker,Evan Baker,Alpha,22,550000,202601,20260101,1.0,25000.0,202601_Alan Day,20260101_Alan Day
202601_Jay Harris,20260101_Jay Harris,Jay Harris,Alpha,15,375000,202601,20260101,0.68,17045.45,202601_Alan Day,20260101_Alan Day
202601_Jenna Marks,20260101_Jenna Marks,Jenna Marks,Alpha,17,425000,202601,20260101,0.77,19318.18,202601_Alan Day,20260101_Alan Day
202601_Naddia Bazar,20260101_Naddia Bazar,Naddia Bazar,Beta,30,750000,202601,20260101,1.36,34090.91,202601_Bryan Reed,20260101_Bryan Reed
202601_Tara Singh,20260101_Tara Singh,Tara Singh,Beta,28,700000,202601,20260101,1.27,31818.18,202601_Bryan Reed,20260101_Bryan Reed
202601_Lisa Wong,20260101_Lisa Wong,Lisa Wong,Beta,24,600000,202601,20260101,1.09,27272.73,202601_Bryan Reed,20260101_Bryan Reed
202601_Marcus Lee,20260101_Marcus Lee,Marcus Lee,Gamma,19,475000,202601,20260101,0.86,21590.91,202601_Brian Derenda,20260101_Brian Derenda
202601_Sofia Cruz,20260101_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202601,20260101,1.68,42045.45,202601_Brian Derenda,20260101_Brian Derenda
202601_Alexander Dagen,20260101_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202601,20260101,1.18,29545.45,202601_Brian Derenda,20260101_Brian Derenda
202601_Victor Chen,20260101_Victor Chen,Victor Chen,Gamma,22,550000,202601,20260101,1.0,25000.0,202601_Brian Derenda,20260101_Brian Derenda
202602_Evan Baker,20260201_Evan Baker,Evan Baker,Alpha,22,550000,202602,20260201,1.0,25000.0,202602_Alan Day,20260201_Alan Day
202602_Jay Harris,20260201_Jay Harris,Jay Harris,Alpha,15,375000,202602,20260201,0.68,17045.45,202602_Alan Day,20260201_Alan Day
202602_Jenna Marks,20260201_Jenna Marks,Jenna Marks,Alpha,17,425000,202602,20260201,0.77,19318.18,202602_Alan Day,20260201_Alan Day
202602_Naddia Bazar,20260201_Naddia Bazar,Naddia Bazar,Beta,30,750000,202602,20260201,1.36,34090.91,202602_Bryan Reed,20260201_Bryan Reed
202602_Tara Singh,20260201_Tara Singh,Tara Singh,Beta,28,700000,202602,20260201,1.27,31818.18,202602_Bryan Reed,20260201_Bryan Reed
202602_Lisa Wong,20260201_Lisa Wong,Lisa Wong,Beta,24,600000,202602,20260201,1.09,27272.73,202602_Bryan Reed,20260201_Bryan Reed
202602_Marcus Lee,20260201_Marcus Lee,Marcus Lee,Gamma,19,475000,202602,20260201,0.86,21590.91,202602_Brian Derenda,20260201_Brian Derenda
202602_Sofia Cruz,20260201_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202602,20260201,1.68,42045.45,202602_Brian Derenda,20260201_Brian Derenda
202602_Alexander Dagen,20260201_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202602,20260201,1.18,29545.45,202602_Brian Derenda,20260201_Brian Derenda
202602_Victor Chen,20260201_Victor Chen,Victor Chen,Gamma,22,550000,202602,20260201,1.0,25000.0,202602_Brian Derenda,20260201_Brian Derenda
202603_Evan Baker,20260301_Evan Baker,Evan Baker,Alpha,22,550000,202603,20260301,1.0,25000.0,202603_Alan Day,20260301_Alan Day
202603_Jay Harris,20260301_Jay Harris,Jay Harris,Alpha,15,375000,202603,20260301,0.68,17045.45,202603_Alan Day,20260301_Alan Day
202603_Jenna Marks,20260301_Jenna Marks,Jenna Marks,Alpha,17,425000,202603,20260301,0.77,19318.18,202603_Alan Day,20260301_Alan Day
202603_Naddia Bazar,20260301_Naddia Bazar,Naddia Bazar,Beta,30,750000,202603,20260301,1.36,34090.91,202603_Bryan Reed,20260301_Bryan Reed
202603_Tara Singh,20260301_Tara Singh,Tara Singh,Beta,28,700000,202603,20260301,1.27,31818.18,202603_Bryan Reed,20260301_Bryan Reed
202603_Lisa Wong,20260301_Lisa Wong,Lisa Wong,Beta,24,600000,202603,20260301,1.09,27272.73,202603_Bryan Reed,20260301_Bryan Reed
202603_Marcus Lee,20260301_Marcus Lee,Marcus Lee,Gamma,19,475000,202603,20260301,0.86,21590.91,202603_Brian Derenda,20260301_Brian Derenda
202603_Sofia Cruz,20260301_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202603,20260301,1.68,42045.45,202603_Brian Derenda,20260301_Brian Derenda
202603_Alexander Dagen,20260301_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202603,20260301,1.18,29545.45,202603_Brian Derenda,20260301_Brian Derenda
202603_Victor Chen,20260301_Victor Chen,Victor Chen,Gamma,22,550000,202603,20260301,1.0,25000.0,202603_Brian Derenda,20260301_Brian Derenda
202604_Evan Baker,20260401_Evan Baker,Evan Baker,Alpha,22,550000,202604,20260401,1.0,25000.0,202604_Alan Day,20260401_Alan Day
202604_Jay Harris,20260401_Jay Harris,Jay Harris,Alpha,15,375000,202604,20260401,0.68,17045.45,202604_Alan Day,20260401_Alan Day
202604_Jenna Marks,20260401_Jenna Marks,Jenna Marks,Alpha,17,425000,202604,20260401,0.77,19318.18,202604_Alan Day,20260401_Alan Day
202604_Naddia Bazar,20260401_Naddia Bazar,Naddia Bazar,Beta,30,750000,202604,20260401,1.36,34090.91,202604_Bryan Reed,20260401_Bryan Reed
202604_Tara Singh,20260401_Tara Singh,Tara Singh,Beta,28,700000,202604,20260401,1.27,31818.18,202604_Bryan Reed,20260401_Bryan Reed
202604_Lisa Wong,20260401_Lisa Wong,Lisa Wong,Beta,24,600000,202604,20260401,1.09,27272.73,202604_Bryan Reed,20260401_Bryan Reed
202604_Marcus Lee,20260401_Marcus Lee,Marcus Lee,Gamma,19,475000,202604,20260401,0.86,21590.91,202604_Brian Derenda,20260401_Brian Derenda
202604_Sofia Cruz,20260401_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202604,20260401,1.68,42045.45,202604_Brian Derenda,20260401_Brian Derenda
202604_Alexander Dagen,20260401_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202604,20260401,1.18,29545.45,202604_Brian Derenda,20260401_Brian Derenda
202604_Victor Chen,20260401_Victor Chen,Victor Chen,Gamma,22,550000,202604,20260401,1.0,25000.0,202604_Brian Derenda,20260401_Brian Derenda
202605_Evan Baker,20260501_Evan Baker,Evan Baker,Alpha,22,550000,202605,20260501,1.0,25000.0,202605_Alan Day,20260501_Alan Day
202605_Jay Harris,20260501_Jay Harris,Jay Harris,Alpha,15,375000,202605,20260501,0.68,17045.45,202605_Alan Day,20260501_Alan Day
202605_Jenna Marks,20260501_Jenna Marks,Jenna Marks,Alpha,17,425000,202605,20260501,0.77,19318.18,202605_Alan Day,20260501_Alan Day
202605_Naddia Bazar,20260501_Naddia Bazar,Naddia Bazar,Beta,30,750000,202605,20260501,1.36,34090.91,202605_Bryan Reed,20260501_Bryan Reed
202605_Tara Singh,20260501_Tara Singh,Tara Singh,Beta,28,700000,202605,20260501,1.27,31818.18,202605_Bryan Reed,20260501_Bryan Reed
202605_Lisa Wong,20260501_Lisa Wong,Lisa Wong,Beta,24,600000,202605,20260501,1.09,27272.73,202605_Bryan Reed,20260501_Bryan Reed
202605_Marcus Lee,20260501_Marcus Lee,Marcus Lee,Gamma,19,475000,202605,20260501,0.86,21590.91,202605_Brian Derenda,20260501_Brian Derenda
202605_Sofia Cruz,20260501_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202605,20260501,1.68,42045.45,202605_Brian Derenda,20260501_Brian Derenda
202605_Alexander Dagen,20260501_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202605,20260501,1.18,29545.45,202605_Brian Derenda,20260501_Brian Derenda
202605_Victor Chen,20260501_Victor Chen,Victor Chen,Gamma,22,550000,202605,20260501,1.0,25000.0,202605_Brian Derenda,20260501_Brian Derenda
202606_Evan Baker,20260601_Evan Baker,Evan Baker,Alpha,22,550000,202606,20260601,1.0,25000.0,202606_Alan Day,20260601_Alan Day
202606_Jay Harris,20260601_Jay Harris,Jay Harris,Alpha,15,375000,202606,20260601,0.68,17045.45,202606_Alan Day,20260601_Alan Day
202606_Jenna Marks,20260601_Jenna Marks,Jenna Marks,Alpha,17,425000,202606,20260601,0.77,19318.18,202606_Alan Day,20260601_Alan Day
202606_Naddia Bazar,20260601_Naddia Bazar,Naddia Bazar,Beta,30,750000,202606,20260601,1.36,34090.91,202606_Bryan Reed,20260601_Bryan Reed
202606_Tara Singh,20260601_Tara Singh,Tara Singh,Beta,28,700000,202606,20260601,1.27,31818.18,202606_Bryan Reed,20260601_Bryan Reed
202606_Lisa Wong,20260601_Lisa Wong,Lisa Wong,Beta,24,600000,202606,20260601,1.09,27272.73,202606_Bryan Reed,20260601_Bryan Reed
