DIRECTORKEY,DIRECTORKEYDAY,TEAM,DIRECTORGOAL,GOALDATE,GOALDAY,DIRECTORGOALDAY,DAYSINMONTH
202601_Alan Day,20260101_Alan Day,Alan Day,1931,202601,20260101,72,22
202601_Bryan Reed,20260101_Bryan Reed,Bryan Reed,2150,202601,20260101,53,22
202601_Brian Derenda,20260101_Brian Derenda,Brian Derenda,1374,202601,20260101,76,22
202602_Alan Day,20260201_Alan Day,Alan Day,1973,202602,20260201,49,22
202602_Bryan Reed,20260201_Bryan Reed,Bryan Reed,2270,202602,20260201,83,22
202602_Brian Derenda,20260201_Brian Derenda,Brian Derenda,2345,202602,20260201,82,22
202603_Alan Day,20260301_Alan Day,Alan Day,2335,202603,20260301,76,22
202603_Bryan Reed,20260301_Bryan Reed,Bryan Reed,2334,202603,20260301,74,22
202603_Brian Derenda,20260301_Brian Derenda,Brian Derenda,2205,202603,20260301,72,22
202604_Alan Day,20260401_Alan Day,Alan Day,2175,202604,20260401,73,22
202604_Bryan Reed,20260401_Bryan Reed,Bryan Reed,1959,202604,20260401,49,22
202604_Brian Derenda,20260401_Brian Derenda,Brian Derenda,1645,202604,20260401,77,22
202605_Alan Day,20260501_Alan Day,Alan Day,2183,202605,20260501,74,22
202605_Bryan Reed,20260501_Bryan Reed,Bryan Reed,1356,202605,20260501,53,22
202605_Brian Derenda,20260501_Brian Derenda,Brian Derenda,1636,202605,20260501,83,22
202606_Alan Day,20260601_Alan Day,Alan Day,2299,202606,20260601,50,22
202606_Bryan Reed,20260601_Bryan Reed,Bryan Reed,2291,202606,20260601,81,22
202606_Brian Derenda,20260601_Brian Derenda,Brian Derenda,1657,202606,20260601,84,22
202607_Alan Day,20260701_Alan Day,Alan Day,2134,202607,20260701,86,22
202607_Bryan Reed,20260701_Bryan Reed,Bryan Reed,1529,202607,20260701,47,22
202607_Brian Derenda,20260701_Brian Derenda,Brian Derenda,1768,202607,20260701,77,22
202608_Alan Day,20260801_Alan Day,Alan Day,2175,202608,20260801,59,22
202608_Bryan Reed,20260801_Bryan Reed,Bryan Reed,1279,202608,20260801,62,22
202608_Brian Derenda,20260801_Brian Derenda,Brian Derenda,1939,202608,20260801,52,22
202609_Alan Day,20260901_Alan Day,Alan Day,2402,202609,20260901,61,22
202609_Bryan Reed,20260901_Bryan Reed,Bryan Reed,1853,202609,20260901,66,22
202609_Brian Derenda,20260901_Brian Derenda,Brian Derenda,2226,202609,20260901,71,22
202610_Alan Day,20261001_Alan Day,Alan Day,2244,202610,20261001,50,22
202610_Bryan Reed,20261001_Bryan Reed,Bryan Reed,2134,202610,20261001,59,22
202610_Brian Derenda,20261001_Brian Derenda,Brian Derenda,1774,202610,20261001,52,22
202611_Alan Day,20261101_Alan Day,Alan Day,2302,202611,20261101,80,22
202611_Bryan Reed,20261101_Bryan Reed,Bryan Reed,1262,202611,20261101,76,22
202611_Brian Derenda,20261101_Brian Derenda,Brian Derenda,2385,202611,20261101,87,22
202612_Alan Day,20261201_Alan Day,Alan Day,2024,202612,20261201,64,22
202612_Bryan Reed,20261201_Bryan Reed,Bryan Reed,1282,202612,20261201,60,22
202612_Brian Derenda,20261201_Brian Derenda,Brian Derenda,2482,202612,20261201,85,22
