REPKEY,RANKDATE,RANKDATEVALUE,RANKDAYVALUE,ORIGINALREP,ENROLLMENTS,NETENROLLMENTS,TOTALDEBT,NETDEBT,EARLYCANCELLATION,CANCELLEDDEBT,ENROLLDATE
20250103_NADDIA BAZAR,JAN-2025,202501,20250103,Naddia Bazar,3,3,103356,103356,0,0,"Friday, January 03, 2025"
20250103_TARA SINGH,JAN-2025,202501,20250103,Tara Singh,1,1,21880,21880,0,0,"Friday, January 03, 2025"
20250103_LISA WONG,JAN-2025,202501,20250103,Lisa Wong,2,2,78679,78679,0,0,"Friday, January 03, 2025"
20250103_MARCUS LEE,JAN-2025,202501,20250103,Marcus Lee,0,0,0,0,0,0,"Friday, January 03, 2025"
20250103_SOFIA CRUZ,JAN-2025,202501,20250103,Sofia Cruz,6,4,163642,111054,2,52588,"Friday, January 03, 2025"
20250103_ALEXANDER DAGEN,JAN-2025,202501,20250103,Alexander Dagen,3,3,80080,80080,0,0,"Friday, January 03, 2025"
20250103_VICTOR CHEN,JAN-2025,202501,20250103,Victor Chen,2,2,69348,69348,0,0,"Friday, January 03, 2025"
20250106_EVAN BAKER,JAN-2025,202501,20250106,Evan Baker,3,3,84177,84177,0,0,"Monday, January 06, 2025"
20250106_JAY HARRIS,JAN-2025,202501,20250106,Jay Harris,1,1,11550,11550,0,0,"Monday, January 06, 2025"
20250106_JENNA MARKS,JAN-2025,202501,20250106,Jenna Marks,3,3,119148,119148,0,0,"Monday, January 06, 2025"
20250106_NADDIA BAZAR,JAN-2025,202501,20250106,Naddia Bazar,4,4,130052,130052,0,0,"Monday, January 06, 2025"
20250106_TARA SINGH,JAN-2025,202501,20250106,Tara Singh,5,5,167108,167108,0,0,"Monday, January 06, 2025"
20250106_LISA WONG,JAN-2025,202501,20250106,Lisa Wong,1,1,22008,22008,0,0,"Monday, January 06, 2025"
20250106_MARCUS LEE,JAN-2025,202501,20250106,Marcus Lee,3,3,92975,92975,0,0,"Monday, January 06, 2025"
20250106_SOFIA CRUZ,JAN-2025,202501,20250106,Sofia Cruz,4,4,175912,175912,0,0,"Monday, January 06, 2025"
20250106_ALEXANDER DAGEN,JAN-2025,202501,20250106,Alexander Dagen,2,2,57951,57951,0,0,"Monday, January 06, 2025"
20250106_VICTOR CHEN,JAN-2025,202501,20250106,Victor Chen,6,5,165346,153600,1,11746,"Monday, January 06, 2025"
20250107_EVAN BAKER,JAN-2025,202501,20250107,Evan Baker,0,0,0,0,0,0,"Tuesday, January 07, 2025"
20250107_JAY HARRIS,JAN-2025,202501,20250107,Jay Harris,4,3,185638,138676,1,46962,"Tuesday, January 07, 2025"
20250107_JENNA MARKS,JAN-2025,202501,20250107,Jenna Marks,2,2,62528,62528,0,0,"Tuesday, January 07, 2025"
20250107_NADDIA BAZAR,JAN-2025,202501,20250107,Naddia Bazar,6,5,191263,178509,1,12754,"Tuesday, January 07, 2025"
20250107_TARA SINGH,JAN-2025,202501,20250107,Tara Singh,4,4,170918,170918,0,0,"Tuesday, January 07, 2025"
20250107_LISA WONG,JAN-2025,202501,20250107,Lisa Wong,2,2,52858,52858,0,0,"Tuesday, January 07, 2025"
20250107_MARCUS LEE,JAN-2025,202501,20250107,Marcus Lee,0,0,0,0,0,0,"Tuesday, January 07, 2025"
20250107_SOFIA CRUZ,JAN-2025,202501,20250107,Sofia Cruz,2,2,31814,31814,0,0,"Tuesday, January 07, 2025"
20250107_ALEXANDER DAGEN,JAN-2025,202501,20250107,Alexander Dagen,4,4,147057,147057,0,0,"Tuesday, January 07, 2025"
20250107_VICTOR CHEN,JAN-2025,202501,20250107,Victor Chen,4,2,136462,62123,2,74339,"Tuesday, January 07, 2025"
20250108_EVAN BAKER,JAN-2025,202501,20250108,Evan Baker,2,2,66217,66217,0,0,"Wednesday, January 08, 2025"
20250108_JAY HARRIS,JAN-2025,202501,20250108,Jay Harris,2,1,87965,44210,1,43755,"Wednesday, January 08, 2025"
20250108_JENNA MARKS,JAN-2025,202501,20250108,Jenna Marks,3,3,92555,92555,0,0,"Wednesday, January 08, 2025"
20250108_NADDIA BAZAR,JAN-2025,202501,20250108,Naddia Bazar,5,5,226096,226096,0,0,"Wednesday, January 08, 2025"
20250108_TARA SINGH,JAN-2025,202501,20250108,Tara Singh,6,5,241747,206727,1,35020,"Wednesday, January 08, 2025"
20250108_LISA WONG,JAN-2025,202501,20250108,Lisa Wong,2,2,60743,60743,0,0,"Wednesday, January 08, 2025"
20250108_MARCUS LEE,JAN-2025,202501,20250108,Marcus Lee,4,3,90962,68353,1,22609,"Wednesday, January 08, 2025"
20250108_SOFIA CRUZ,JAN-2025,202501,20250108,Sofia Cruz,2,2,104674,104674,0,0,"Wednesday, January 08, 2025"
20250108_ALEXANDER DAGEN,JAN-2025,202501,20250108,Alexander Dagen,4,3,142859,117462,1,25397,"Wednesday, January 08, 2025"
20250108_VICTOR CHEN,JAN-2025,202501,20250108,Victor Chen,2,2,87303,87303,0,0,"Wednesday, January 08, 2025"
20250109_EVAN BAKER,JAN-2025,202501,20250109,Evan Baker,4,4,162896,162896,0,0,"Thursday, January 09, 2025"
20250109_JAY HARRIS,JAN-2025,202501,20250109,Jay Harris,2,2,42224,42224,0,0,"Thursday, January 09, 2025"
20250109_JENNA MARKS,JAN-2025,202501,20250109,Jenna Marks,1,1,27681,27681,0,0,"Thursday, January 09, 2025"
20250109_NADDIA BAZAR,JAN-2025,202501,20250109,Naddia Bazar,3,3,130409,130409,0,0,"Thursday, January 09, 2025"
20250109_TARA SINGH,JAN-2025,202501,20250109,Tara Singh,0,0,0,0,0,0,"Thursday, January 09, 2025"
20250109_LISA WONG,JAN-2025,202501,20250109,Lisa Wong,5,4,198328,135689,1,62639,"Thursday, January 09, 2025"
20250109_MARCUS LEE,JAN-2025,202501,20250109,Marcus Lee,1,1,36952,36952,0,0,"Thursday, January 09, 2025"
20250109_SOFIA CRUZ,JAN-2025,202501,20250109,Sofia Cruz,4,4,193369,193369,0,0,"Thursday, January 09, 2025"
20250109_ALEXANDER DAGEN,JAN-2025,202501,20250109,Alexander Dagen,1,1,29966,29966,0,0,"Thursday, January 09, 2025"
20250109_VICTOR CHEN,JAN-2025,202501,20250109,Victor Chen,2,2,85569,85569,0,0,"Thursday, January 09, 2025"
20250110_EVAN BAKER,JAN-2025,202501,20250110,Evan Baker,3,3,84878,84878,0,0,"Friday, January 10, 2025"
20250110_JAY HARRIS,JAN-2025,202501,20250110,Jay Harris,2,2,104349,104349,0,0,"Friday, January 10, 2025"
20250110_JENNA MARKS,JAN-2025,202501,20250110,Jenna Marks,1,1,50995,50995,0,0,"Friday, January 10, 2025"
20250110_NADDIA BAZAR,JAN-2025,202501,20250110,Naddia Bazar,4,4,148148,148148,0,0,"Friday, January 10, 2025"
20250110_TARA SINGH,JAN-2025,202501,20250110,Tara Singh,4,4,176713,176713,0,0,"Friday, January 10, 2025"
20250110_LISA WONG,JAN-2025,202501,20250110,Lisa Wong,3,3,146727,146727,0,0,"Friday, January 10, 2025"
20250110_MARCUS LEE,JAN-2025,202501,20250110,Marcus Lee,4,4,164595,164595,0,0,"Friday, January 10, 2025"
20250110_SOFIA CRUZ,JAN-2025,202501,20250110,Sofia Cruz,4,4,171591,171591,0,0,"Friday, January 10, 2025"
20250110_ALEXANDER DAGEN,JAN-2025,202501,20250110,Alexander Dagen,1,1,13280,13280,0,0,"Friday, January 10, 2025"
20250110_VICTOR CHEN,JAN-2025,202501,20250110,Victor Chen,5,4,118310,83062,1,35248,"Friday, January 10, 2025"
20250113_EVAN BAKER,JAN-2025,202501,20250113,Evan Baker,4,3,153467,99886,1,53581,"Monday, January 13, 2025"
20250113_JAY HARRIS,JAN-2025,202501,20250113,Jay Harris,0,0,0,0,0,0,"Monday, January 13, 2025"
20250113_JENNA MARKS,JAN-2025,202501,20250113,Jenna Marks,3,3,143674,143674,0,0,"Monday, January 13, 2025"
20250113_NADDIA BAZAR,JAN-2025,202501,20250113,Naddia Bazar,2,2,70046,70046,0,0,"Monday, January 13, 2025"
20250113_TARA SINGH,JAN-2025,202501,20250113,Tara Singh,3,2,78184,35180,1,43004,"Monday, January 13, 2025"
20250113_LISA WONG,JAN-2025,202501,20250113,Lisa Wong,1,1,44987,44987,0,0,"Monday, January 13, 2025"
20250113_MARCUS LEE,JAN-2025,202501,20250113,Marcus Lee,4,4,134977,134977,0,0,"Monday, January 13, 2025"
20250113_SOFIA CRUZ,JAN-2025,202501,20250113,Sofia Cruz,5,5,178765,178765,0,0,"Monday, January 13, 2025"
20250113_ALEXANDER DAGEN,JAN-2025,202501,20250113,Alexander Dagen,2,2,69836,69836,0,0,"Monday, January 13, 2025"
20250113_VICTOR CHEN,JAN-2025,202501,20250113,Victor Chen,4,4,109046,109046,0,0,"Monday, January 13, 2025"
20250114_EVAN BAKER,JAN-2025,202501,20250114,Evan Baker,4,4,159778,159778,0,0,"Tuesday, January 14, 2025"
20250114_JAY HARRIS,JAN-2025,202501,20250114,Jay Harris,1,0,28384,0,1,28384,"Tuesday, January 14, 2025"
20250114_JENNA MARKS,JAN-2025,202501,20250114,Jenna Marks,0,0,0,0,0,0,"Tuesday, January 14, 2025"
20250114_NADDIA BAZAR,JAN-2025,202501,20250114,Naddia Bazar,2,2,87455,87455,0,0,"Tuesday, January 14, 2025"
20250114_TARA SINGH,JAN-2025,202501,20250114,Tara Singh,1,1,23915,23915,0,0,"Tuesday, January 14, 2025"
20250114_LISA WONG,JAN-2025,202501,20250114,Lisa Wong,1,1,58625,58625,0,0,"Tuesday, January 14, 2025"
20250114_MARCUS LEE,JAN-2025,202501,20250114,Marcus Lee,1,1,60181,60181,0,0,"Tuesday, January 14, 2025"
20250114_SOFIA CRUZ,JAN-2025,202501,20250114,Sofia Cruz,2,2,102203,102203,0,0,"Tuesday, January 14, 2025"
20250114_ALEXANDER DAGEN,JAN-2025,202501,20250114,Alexander Dagen,2,1,45278,14916,1,30362,"Tuesday, January 14, 2025"
20250114_VICTOR CHEN,JAN-2025,202501,20250114,Victor Chen,4,4,168162,168162,0,0,"Tuesday, January 14, 2025"
20250115_EVAN BAKER,JAN-2025,202501,20250115,Evan Baker,1,1,43269,43269,0,0,"Wednesday, January 15, 2025"
20250115_JAY HARRIS,JAN-2025,202501,20250115,Jay Harris,0,0,0,0,0,0,"Wednesday, January 15, 2025"
20250115_JENNA MARKS,JAN-2025,202501,20250115,Jenna Marks,0,0,0,0,0,0,"Wednesday, January 15, 2025"
20250115_NADDIA BAZAR,JAN-2025,202501,20250115,Naddia Bazar,4,4,161867,161867,0,0,"Wednesday, January 15, 2025"
20250115_TARA SINGH,JAN-2025,202501,20250115,Tara Singh,1,1,32837,32837,0,0,"Wednesday, January 15, 2025"
20250115_LISA WONG,JAN-2025,202501,20250115,Lisa Wong,3,3,91564,91564,0,0,"Wednesday, January 15, 2025"
20250115_MARCUS LEE,JAN-2025,202501,20250115,Marcus Lee,1,1,53952,53952,0,0,"Wednesday, January 15, 2025"
20250115_SOFIA CRUZ,JAN-2025,202501,20250115,Sofia Cruz,7,6,233807,189383,1,44424,"Wednesday, January 15, 2025"
20250115_ALEXANDER DAGEN,JAN-2025,202501,20250115,Alexander Dagen,2,2,90528,90528,0,0,"Wednesday, January 15, 2025"
20250115_VICTOR CHEN,JAN-2025,202501,20250115,Victor Chen,3,3,118469,118469,0,0,"Wednesday, January 15, 2025"
20250116_EVAN BAKER,JAN-2025,202501,20250116,Evan Baker,2,2,44586,44586,0,0,"Thursday, January 16, 2025"
20250116_JAY HARRIS,JAN-2025,202501,20250116,Jay Harris,3,3,118528,118528,0,0,"Thursday, January 16, 2025"
20250116_JENNA MARKS,JAN-2025,202501,20250116,Jenna Marks,2,2,84366,84366,0,0,"Thursday, January 16, 2025"
20250116_NADDIA BAZAR,JAN-2025,202501,20250116,Naddia Bazar,6,5,184805,156996,1,27809,"Thursday, January 16, 2025"
20250116_TARA SINGH,JAN-2025,202501,20250116,Tara Singh,3,3,77893,77893,0,0,"Thursday, January 16, 2025"
20250116_LISA WONG,JAN-2025,202501,20250116,Lisa Wong,2,2,75840,75840,0,0,"Thursday, January 16, 2025"
20250116_MARCUS LEE,JAN-2025,202501,20250116,Marcus Lee,3,1,93754,12855,2,80899,"Thursday, January 16, 2025"
20250116_SOFIA CRUZ,JAN-2025,202501,20250116,Sofia Cruz,3,3,140836,140836,0,0,"Thursday, January 16, 2025"
20250116_ALEXANDER DAGEN,JAN-2025,202501,20250116,Alexander Dagen,1,1,37014,37014,0,0,"Thursday, January 16, 2025"
20250116_VICTOR CHEN,JAN-2025,202501,20250116,Victor Chen,2,2,74582,74582,0,0,"Thursday, January 16, 2025"
20250117_EVAN BAKER,JAN-2025,202501,20250117,Evan Baker,6,5,161454,117279,1,44175,"Friday, January 17, 2025"
20250117_JAY HARRIS,JAN-2025,202501,20250117,Jay Harris,3,3,88494,88494,0,0,"Friday, January 17, 2025"
20250117_JENNA MARKS,JAN-2025,202501,20250117,Jenna Marks,0,0,0,0,0,0,"Friday, January 17, 2025"
20250117_NADDIA BAZAR,JAN-2025,202501,20250117,Naddia Bazar,4,4,170845,170845,0,0,"Friday, January 17, 2025"
20250117_TARA SINGH,JAN-2025,202501,20250117,Tara Singh,4,3,122084,109405,1,12679,"Friday, January 17, 2025"
20250117_LISA WONG,JAN-2025,202501,20250117,Lisa Wong,4,4,158775,158775,0,0,"Friday, January 17, 2025"
20250117_MARCUS LEE,JAN-2025,202501,20250117,Marcus Lee,0,0,0,0,0,0,"Friday, January 17, 2025"
20250117_SOFIA CRUZ,JAN-2025,202501,20250117,Sofia Cruz,3,2,143331,118923,1,24408,"Friday, January 17, 2025"
20250117_ALEXANDER DAGEN,JAN-2025,202501,20250117,Alexander Dagen,3,3,141792,141792,0,0,"Friday, January 17, 2025"
20250117_VICTOR CHEN,JAN-2025,202501,20250117,Victor Chen,2,2,75815,75815,0,0,"Friday, January 17, 2025"
20250120_EVAN BAKER,JAN-2025,202501,20250120,Evan Baker,3,3,98341,98341,0,0,"Monday, January 20, 2025"
20250120_JAY HARRIS,JAN-2025,202501,20250120,Jay Harris,3,2,113782,61865,1,51917,"Monday, January 20, 2025"
20250120_JENNA MARKS,JAN-2025,202501,20250120,Jenna Marks,0,0,0,0,0,0,"Monday, January 20, 2025"
20250120_NADDIA BAZAR,JAN-2025,202501,20250120,Naddia Bazar,5,5,151163,151163,0,0,"Monday, January 20, 2025"
20250120_TARA SINGH,JAN-2025,202501,20250120,Tara Singh,2,1,92656,57574,1,35082,"Monday, January 20, 2025"
20250120_LISA WONG,JAN-2025,202501,20250120,Lisa Wong,1,1,36969,36969,0,0,"Monday, January 20, 2025"
20250120_MARCUS LEE,JAN-2025,202501,20250120,Marcus Lee,3,3,90527,90527,0,0,"Monday, January 20, 2025"
20250120_SOFIA CRUZ,JAN-2025,202501,20250120,Sofia Cruz,6,5,200376,156277,1,44099,"Monday, January 20, 2025"
20250120_ALEXANDER DAGEN,JAN-2025,202501,20250120,Alexander Dagen,5,5,134119,134119,0,0,"Monday, January 20, 2025"
20250120_VICTOR CHEN,JAN-2025,202501,20250120,Victor Chen,5,5,213947,213947,0,0,"Monday, January 20, 2025"
20250121_EVAN BAKER,JAN-2025,202501,20250121,Evan Baker,3,3,113660,113660,0,0,"Tuesday, January 21, 2025"
20250121_JAY HARRIS,JAN-2025,202501,20250121,Jay Harris,0,0,0,0,0,0,"Tuesday, January 21, 2025"
20250121_JENNA MARKS,JAN-2025,202501,20250121,Jenna Marks,0,0,0,0,0,0,"Tuesday, January 21, 2025"
20250121_NADDIA BAZAR,JAN-2025,202501,20250121,Naddia Bazar,4,4,156199,156199,0,0,"Tuesday, January 21, 2025"
20250121_TARA SINGH,JAN-2025,202501,20250121,Tara Singh,1,0,34920,0,1,34920,"Tuesday, January 21, 2025"
20250121_LISA WONG,JAN-2025,202501,20250121,Lisa Wong,5,5,220135,220135,0,0,"Tuesday, January 21, 2025"
20250121_MARCUS LEE,JAN-2025,202501,20250121,Marcus Lee,0,0,0,0,0,0,"Tuesday, January 21, 2025"
20250121_SOFIA CRUZ,JAN-2025,202501,20250121,Sofia Cruz,3,3,114853,114853,0,0,"Tuesday, January 21, 2025"
20250121_ALEXANDER DAGEN,JAN-2025,202501,20250121,Alexander Dagen,1,0,18116,0,1,18116,"Tuesday, January 21, 2025"
20250121_VICTOR CHEN,JAN-2025,202501,20250121,Victor Chen,4,3,192501,141914,1,50587,"Tuesday, January 21, 2025"
20250122_EVAN BAKER,JAN-2025,202501,20250122,Evan Baker,4,2,176592,76196,2,100396,"Wednesday, January 22, 2025"
20250122_JAY HARRIS,JAN-2025,202501,20250122,Jay Harris,0,0,0,0,0,0,"Wednesday, January 22, 2025"
20250122_JENNA MARKS,JAN-2025,202501,20250122,Jenna Marks,2,1,28799,18902,1,9897,"Wednesday, January 22, 2025"
20250122_NADDIA BAZAR,JAN-2025,202501,20250122,Naddia Bazar,3,3,84036,84036,0,0,"Wednesday, January 22, 2025"
20250122_TARA SINGH,JAN-2025,202501,20250122,Tara Singh,4,4,116245,116245,0,0,"Wednesday, January 22, 2025"
20250122_LISA WONG,JAN-2025,202501,20250122,Lisa Wong,2,2,76339,76339,0,0,"Wednesday, January 22, 2025"
20250122_MARCUS LEE,JAN-2025,202501,20250122,Marcus Lee,5,4,146554,128201,1,18353,"Wednesday, January 22, 2025"
20250122_SOFIA CRUZ,JAN-2025,202501,20250122,Sofia Cruz,5,5,193875,193875,0,0,"Wednesday, January 22, 2025"
20250122_ALEXANDER DAGEN,JAN-2025,202501,20250122,Alexander Dagen,5,4,163749,137761,1,25988,"Wednesday, January 22, 2025"
20250122_VICTOR CHEN,JAN-2025,202501,20250122,Victor Chen,2,2,72877,72877,0,0,"Wednesday, January 22, 2025"
20250123_EVAN BAKER,JAN-2025,202501,20250123,Evan Baker,3,3,94330,94330,0,0,"Thursday, January 23, 2025"
20250123_JAY HARRIS,JAN-2025,202501,20250123,Jay Harris,0,0,0,0,0,0,"Thursday, January 23, 2025"
20250123_JENNA MARKS,JAN-2025,202501,20250123,Jenna Marks,3,2,94757,78145,1,16612,"Thursday, January 23, 2025"
20250123_NADDIA BAZAR,JAN-2025,202501,20250123,Naddia Bazar,4,4,126026,126026,0,0,"Thursday, January 23, 2025"
20250123_TARA SINGH,JAN-2025,202501,20250123,Tara Singh,7,7,225747,225747,0,0,"Thursday, January 23, 2025"
20250123_LISA WONG,JAN-2025,202501,20250123,Lisa Wong,1,1,60729,60729,0,0,"Thursday, January 23, 2025"
20250123_MARCUS LEE,JAN-2025,202501,20250123,Marcus Lee,3,3,120222,120222,0,0,"Thursday, January 23, 2025"
20250123_SOFIA CRUZ,JAN-2025,202501,20250123,Sofia Cruz,5,4,172661,133763,1,38898,"Thursday, January 23, 2025"
20250123_ALEXANDER DAGEN,JAN-2025,202501,20250123,Alexander Dagen,2,2,88703,88703,0,0,"Thursday, January 23, 2025"
20250123_VICTOR CHEN,JAN-2025,202501,20250123,Victor Chen,1,1,10971,10971,0,0,"Thursday, January 23, 2025"
20250124_EVAN BAKER,JAN-2025,202501,20250124,Evan Baker,2,2,57597,57597,0,0,"Friday, January 24, 2025"
20250124_JAY HARRIS,JAN-2025,202501,20250124,Jay Harris,3,3,137833,137833,0,0,"Friday, January 24, 2025"
20250124_JENNA MARKS,JAN-2025,202501,20250124,Jenna Marks,2,2,97825,97825,0,0,"Friday, January 24, 2025"
20250124_NADDIA BAZAR,JAN-2025,202501,20250124,Naddia Bazar,3,2,98136,71803,1,26333,"Friday, January 24, 2025"
20250124_TARA SINGH,JAN-2025,202501,20250124,Tara Singh,4,4,153292,153292,0,0,"Friday, January 24, 2025"
20250124_LISA WONG,JAN-2025,202501,20250124,Lisa Wong,4,3,172757,163358,1,9399,"Friday, January 24, 2025"
20250124_MARCUS LEE,JAN-2025,202501,20250124,Marcus Lee,5,3,131597,63091,2,68506,"Friday, January 24, 2025"
20250124_SOFIA CRUZ,JAN-2025,202501,20250124,Sofia Cruz,4,3,187393,122610,1,64783,"Friday, January 24, 2025"
20250124_ALEXANDER DAGEN,JAN-2025,202501,20250124,Alexander Dagen,3,2,80050,54659,1,25391,"Friday, January 24, 2025"
20250124_VICTOR CHEN,JAN-2025,202501,20250124,Victor Chen,2,2,46872,46872,0,0,"Friday, January 24, 2025"
20250127_EVAN BAKER,JAN-2025,202501,20250127,Evan Baker,3,3,148245,148245,0,0,"Monday, January 27, 2025"
20250127_JAY HARRIS,JAN-2025,202501,20250127,Jay Harris,4,2,123176,76066,2,47110,"Monday, January 27, 2025"
20250127_JENNA MARKS,JAN-2025,202501,20250127,Jenna Marks,1,1,26023,26023,0,0,"Monday, January 27, 2025"
20250127_NADDIA BAZAR,JAN-2025,202501,20250127,Naddia Bazar,3,3,122823,122823,0,0,"Monday, January 27, 2025"
20250127_TARA SINGH,JAN-2025,202501,20250127,Tara Singh,1,1,14499,14499,0,0,"Monday, January 27, 2025"
20250127_LISA WONG,JAN-2025,202501,20250127,Lisa Wong,3,3,110288,110288,0,0,"Monday, January 27, 2025"
20250127_MARCUS LEE,JAN-2025,202501,20250127,Marcus Lee,3,3,120461,120461,0,0,"Monday, January 27, 2025"
20250127_SOFIA CRUZ,JAN-2025,202501,20250127,Sofia Cruz,6,6,235969,235969,0,0,"Monday, January 27, 2025"
20250127_ALEXANDER DAGEN,JAN-2025,202501,20250127,Alexander Dagen,3,2,112075,67613,1,44462,"Monday, January 27, 2025"
20250127_VICTOR CHEN,JAN-2025,202501,20250127,Victor Chen,0,0,0,0,0,0,"Monday, January 27, 2025"
20250128_EVAN BAKER,JAN-2025,202501,20250128,Evan Baker,0,0,0,0,0,0,"Tuesday, January 28, 2025"
20250128_JAY HARRIS,JAN-2025,202501,20250128,Jay Harris,3,3,73508,73508,0,0,"Tuesday, January 28, 2025"
20250128_JENNA MARKS,JAN-2025,202501,20250128,Jenna Marks,2,2,53641,53641,0,0,"Tuesday, January 28, 2025"
20250128_NADDIA BAZAR,JAN-2025,202501,20250128,Naddia Bazar,6,6,277880,277880,0,0,"Tuesday, January 28, 2025"
20250128_TARA SINGH,JAN-2025,202501,20250128,Tara Singh,7,7,234140,234140,0,0,"Tuesday, January 28, 2025"
20250128_LISA WONG,JAN-2025,202501,20250128,Lisa Wong,3,3,85606,85606,0,0,"Tuesday, January 28, 2025"
20250128_MARCUS LEE,JAN-2025,202501,20250128,Marcus Lee,1,1,28423,28423,0,0,"Tuesday, January 28, 2025"
20250128_SOFIA CRUZ,JAN-2025,202501,20250128,Sofia Cruz,5,5,227042,227042,0,0,"Tuesday, January 28, 2025"
20250128_ALEXANDER DAGEN,JAN-2025,202501,20250128,Alexander Dagen,2,2,73687,73687,0,0,"Tuesday, January 28, 2025"
20250128_VICTOR CHEN,JAN-2025,202501,20250128,Victor Chen,3,3,130198,130198,0,0,"Tuesday, January 28, 2025"
20250129_EVAN BAKER,JAN-2025,202501,20250129,Evan Baker,0,0,0,0,0,0,"Wednesday, January 29, 2025"
20250129_JAY HARRIS,JAN-2025,202501,20250129,Jay Harris,2,1,58253,10976,1,47277,"Wednesday, January 29, 2025"
20250129_JENNA MARKS,JAN-2025,202501,20250129,Jenna Marks,4,4,147693,147693,0,0,"Wednesday, January 29, 2025"
20250129_NADDIA BAZAR,JAN-2025,202501,20250129,Naddia Bazar,3,3,135469,135469,0,0,"Wednesday, January 29, 2025"
20250129_TARA SINGH,JAN-2025,202501,20250129,Tara Singh,6,6,231004,231004,0,0,"Wednesday, January 29, 2025"
20250129_LISA WONG,JAN-2025,202501,20250129,Lisa Wong,4,4,130332,130332,0,0,"Wednesday, January 29, 2025"
20250129_MARCUS LEE,JAN-2025,202501,20250129,Marcus Lee,5,5,178828,178828,0,0,"Wednesday, January 29, 2025"
20250129_SOFIA CRUZ,JAN-2025,202501,20250129,Sofia Cruz,6,6,159429,159429,0,0,"Wednesday, January 29, 2025"
20250129_ALEXANDER DAGEN,JAN-2025,202501,20250129,Alexander Dagen,4,4,173991,173991,0,0,"Wednesday, January 29, 2025"
20250129_VICTOR CHEN,JAN-2025,202501,20250129,Victor Chen,3,3,148413,148413,0,0,"Wednesday, January 29, 2025"
20250130_EVAN BAKER,JAN-2025,202501,20250130,Evan Baker,4,2,160529,76950,2,83579,"Thursday, January 30, 2025"
20250130_JAY HARRIS,JAN-2025,202501,20250130,Jay Harris,1,1,38260,38260,0,0,"Thursday, January 30, 2025"
20250130_JENNA MARKS,JAN-2025,202501,20250130,Jenna Marks,5,4,193692,129640,1,64052,"Thursday, January 30, 2025"
